article_title,paragraph_index,cluster_status,vote_pattern,consensus_direction,representative_accept,representative_deny,representative_total_votes,subcategory,category,representative_text,representative_meta,cluster_member_count,cluster_metas,cluster_texts
"'pathetic rout,' 'tragic mistake' and 'painful' john mccain holds little back in describing helsinki",2,majority_accept,2-0,accept,2,0,2,exaggeration,persuasive propaganda,ions all the more painful and inexplicable,Prerana,1,Prerana,ions all the more painful and inexplicable
Biden criticizes Amazon for paying $0 in corporate taxes,1,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"earlier this week, slamming the company",Aarush,1,Aarush,"earlier this week, slamming the company"
Biden criticizes Amazon for paying $0 in corporate taxes,2,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,Amazon crushes small companies by copying the goods,Prerana,1,Prerana,Amazon crushes small companies by copying the goods
Biden criticizes Amazon for paying $0 in corporate taxes,2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,furious backlash in Washington against the country's top tech giants,Prerana,1,Prerana,furious backlash in Washington against the country's top tech giants
BuzzFeed Journalists Protest in Push for Union Recognition,2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,once the darlings of the media industry,Prerana,2,Ashrey | Prerana,once the darlings of the media industry || once the darlings of the media industry
DC mayor says Trump's Fourth of July celebration emptied security fund,2,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"""Dump Trump"" robot to protest the president",Ashrey,1,Ashrey,"""Dump Trump"" robot to protest the president"
DC mayor says Trump's Fourth of July celebration emptied security fund,2,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"Baby Trump"" balloon and a ""Dump Trump"" r",Prerana,2,Ashrey | Prerana,"Demonstrators brought along a ""Baby Trump"" balloon || Baby Trump"" balloon and a ""Dump Trump"" r"
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,majority_accept,3-0,accept,3,0,3,casual oversimplification,persuasive propaganda,"""it looks to me like they're trying to take away her right to free speech and that's just not fair.",Prerana,1,Prerana,"""it looks to me like they're trying to take away her right to free speech and that's just not fair."
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"more personal contact with people."" ""This can't be real... can it? Based on the allegations I'd stay away from that but hey I'm new",Ashrey,1,Ashrey,"more personal contact with people."" ""This can't be real... can it? Based on the allegations I'd stay away from that but hey I'm new"
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,majority_accept,3-0,accept,3,0,3,bandwagon,persuasive propaganda,"I can assure everyone that by running, Roy Moore is going against my father and he's doing a disservice to all conservatives",Ashrey,1,Ashrey,"I can assure everyone that by running, Roy Moore is going against my father and he's doing a disservice to all conservatives"
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"You're literally the only candidate who could lose a GOP seat in pro-Trump, pro-USA ALABAMA",Ashrey,1,Ashrey,"You're literally the only candidate who could lose a GOP seat in pro-Trump, pro-USA ALABAMA"
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,We believe most Alabama Republicans realize that nominating Roy Moore would be gift wrapping this Senate seat for Chuck Schumer,Ashrey,2,Ashrey | Prerana,We believe most Alabama Republicans realize that nominating Roy Moore would be gift wrapping this Senate seat for Chuck Schumer || would be gift wrapping this Senate seat for Chuck Schumer
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,majority_accept,3-0,accept,3,0,3,slogans,persuasive propaganda,"The National Republican Senatorial Committee has said its motto in the race is ""ABRM,"" which stands for ""anyone but Roy Moore.""",Ashrey,2,Ashrey | Prerana,"The National Republican Senatorial Committee has said its motto in the race is ""ABRM,"" which stands for ""anyone but Roy Moore."" || ""anyone but Roy Moore."""
GOP lawmaker suggests Colin Kaepernick move to a different country,0,majority_accept,4-0,accept,4,0,4,doubt,persuasive propaganda,ought to consider moving to a country where he believes the laws are better for his purposes,Ashrey,1,Ashrey,ought to consider moving to a country where he believes the laws are better for his purposes
GOP lawmaker suggests Colin Kaepernick move to a different country,1,majority_accept,4-0,accept,4,0,4,exaggeration,persuasive propaganda,"They don't like the foundational principles that have made us a great nation, and I would put Mr. Kaepernick in that category",Ashrey,1,Ashrey,"They don't like the foundational principles that have made us a great nation, and I would put Mr. Kaepernick in that category"
GOP lawmaker suggests Colin Kaepernick move to a different country,1,majority_accept,4-0,accept,4,0,4,name-calling,inflammatory language,"""very radical people in the United States of America who don't like America.",Prerana,2,Aarush | Prerana,"very radical people in the United States of America who don't like America || ""very radical people in the United States of America who don't like America."
Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"this president and his chicken hawk cabinet have led us to the brink of war with Iran.""",Prerana,3,Aarush | Ashrey | Prerana,"this president and his chicken hawk cabinet have led us to the brink of war with Iran. || this president and his chicken hawk cabinet have led us to the brink of war || this president and his chicken hawk cabinet have led us to the brink of war with Iran."""
Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"When we weren't in there, they started flying planes into our buildings",Ashrey,1,Ashrey,"When we weren't in there, they started flying planes into our buildings"
Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,2,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,It's clear who MSNBC wants to be president: Elizabeth Warren. They're giving her more time than all the other candidates combined.,Ashrey,1,Ashrey,It's clear who MSNBC wants to be president: Elizabeth Warren. They're giving her more time than all the other candidates combined.
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,0,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,local medical examiner described as the most brutal murder he had ever seen,Ashrey,2,Ashrey | Prerana,local medical examiner described as the most brutal murder he had ever seen || described as the most brutal murder he had ever seen.
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,though it doesn't make any exact recommendations how to address the so-called emergency.,Ashrey,2,Ashrey | Prerana,though it doesn't make any exact recommendations how to address the so-called emergency. || ress the so-called emergency.
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"President Trump has routinely declared phony national emergencies to advance his deeply unpopular agenda,""",Ashrey,1,Ashrey,"President Trump has routinely declared phony national emergencies to advance his deeply unpopular agenda,"""
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"""On the existential threat of climate change, Trump insists on calling it a hoax.""",Ashrey,1,Ashrey,"""On the existential threat of climate change, Trump insists on calling it a hoax."""
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,ng it would devastate the economy and trigger massive tax increases,Prerana,1,Prerana,ng it would devastate the economy and trigger massive tax increases
Protest in Madrid as conservatives suspend ban on most polluting cars,0,majority_accept,3-0,accept,3,0,3,slogans,persuasive propaganda,"""I want to breathe free"" and ""We aspire to have a Madrid without smoke""",Ashrey,4,Ashrey | Prerana,"""I want to breathe free"" and ""We aspire to have a Madrid without smoke"" || We aspire to have a Madrid without smoke"". || I want to breathe free || We aspire to have a Madrid without smoke""."
Protest in Madrid as conservatives suspend ban on most polluting cars,2,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Prerana,4,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected || no polarizing language selected
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"gs on the racist police who posted on Facebook,""",Prerana,1,Prerana,"gs on the racist police who posted on Facebook,"""
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,majority_accept,3-0,accept,3,0,3,slogans,persuasive propaganda,Get Them Off The Streets':,Prerana,2,Ashrey | Prerana,Get Them Off The Streets || Get Them Off The Streets':
"RMV Fail: 546 license suspensions, more to come",0,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"Massachusetts drivers' violations in other states accumulate for more than a year, unprocessed in 53 bins, in a deadly bureaucratic failure",Ashrey,1,Ashrey,"Massachusetts drivers' violations in other states accumulate for more than a year, unprocessed in 53 bins, in a deadly bureaucratic failure"
"RMV Fail: 546 license suspensions, more to come",3,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,Someone's dropping the ball' Investigation reveals thousands of notifications awaiting review at RMV,Ashrey,1,Ashrey,Someone's dropping the ball' Investigation reveals thousands of notifications awaiting review at RMV
Trump hits polling on Fox News: 'Something weird going on at Fox',0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,They were against Crooked Hillary also,Ashrey,2,Ashrey | Prerana,They were against Crooked Hillary also || re against Crooked Hillary
Trump hits polling on Fox News: 'Something weird going on at Fox',1,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"The president tweeted earlier Monday that ""only fake polls"" showed him behind 2020 Democrats, referring to them as a ""Motley Crew.""",Ashrey,1,Ashrey,"The president tweeted earlier Monday that ""only fake polls"" showed him behind 2020 Democrats, referring to them as a ""Motley Crew."""
Trump hits polling on Fox News: 'Something weird going on at Fox',1,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"referring to them as a ""Motley Crew.""",Prerana,1,Prerana,"referring to them as a ""Motley Crew."""
Trump hits polling on Fox News: 'Something weird going on at Fox',1,majority_accept,3-0,accept,3,0,3,slogans,persuasive propaganda,". ""Much work to do! MAKE AMERICA GREAT AGAIN!""",Prerana,2,Ashrey | Prerana,"MAKE AMERICA GREAT AGAIN! || . ""Much work to do! MAKE AMERICA GREAT AGAIN!"""
Trump hits polling on Fox News: 'Something weird going on at Fox',2,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"""Fox is moving more and more to the losing (wrong) side in covering the Dems,""",Ashrey,1,Ashrey,"""Fox is moving more and more to the losing (wrong) side in covering the Dems,"""
donald trump's criminal justice reform shows results,0,majority_accept,3-0,accept,3,0,3,bandwagon,persuasive propaganda,We all want to see criminals,Aarush,1,Aarush,We all want to see criminals
donald trump's criminal justice reform shows results,0,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"It is a major achievement in improving the criminal justice system, long overdue.",Ashrey,3,Aarush | Ashrey | Prerana,"It is a major achievement in improving the criminal justice system, long overdue. || It is a major achievement in improving the criminal justice system, long overdue. || is a major achievement in improving the cr"
donald trump's criminal justice reform shows results,2,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"re certainly concerned about getting elected, or re-elected.",Prerana,1,Prerana,"re certainly concerned about getting elected, or re-elected."
donald trump's criminal justice reform shows results,2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"Too often, an 18-year-old makes a mistake for which he will pay until he's 90 years old",Aarush,2,Aarush | Prerana,"Too often, an 18-year-old makes a mistake for which he will pay until he's 90 years old || e will pay until he's 90 years old"
donald trump's criminal justice reform shows results,4,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Prerana,3,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,majority_accept,3-0,accept,3,0,3,bandwagon,persuasive propaganda,"This is lawless conduct, and it's depriving the public from the right to know about the activities of police in their communities",Ashrey,1,Ashrey,"This is lawless conduct, and it's depriving the public from the right to know about the activities of police in their communities"
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"Becerra's obvious bias toward the police groups could prove an obstacle, too.",Ashrey,1,Ashrey,"Becerra's obvious bias toward the police groups could prove an obstacle, too."
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,majority_accept,3-0,accept,3,0,3,bandwagon,persuasive propaganda,The passage of SB1421 was a hard-fought battle to give the public transparency about police misconduct in their communities.,Ashrey,1,Ashrey,The passage of SB1421 was a hard-fought battle to give the public transparency about police misconduct in their communities.
george conway urges trump to resign over aborted iran strike,0,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"To say this is amateur hour would defame amateurs.""",Ashrey,1,Ashrey,"To say this is amateur hour would defame amateurs."""
george conway urges trump to resign over aborted iran strike,0,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people,Ashrey,2,Ashrey,Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people || Trump didn't realize UNTIL TEN MINUTES BEFOREHAND that a planned airstrike would kill over a hundred people
george conway urges trump to resign over aborted iran strike,0,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,George Conway blasted President Trum,Aarush,1,Aarush,George Conway blasted President Trum
george conway urges trump to resign over aborted iran strike,0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are",Ashrey,1,Ashrey,"Resign. If you didn't know this until it was almost too late, you're even more of an idiot than people think you are"
george conway urges trump to resign over aborted iran strike,1,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"If you didn't know this until it was almost too late, you're even more of an idiot than people think you are.",Ashrey,2,Ashrey | Prerana,"If you didn't know this until it was almost too late, you're even more of an idiot than people think you are. || , you're even more of an idiot than people think you are"
george conway urges trump to resign over aborted iran strike,2,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
george conway urges trump to resign over aborted iran strike,3,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts",Ashrey,1,Ashrey,"""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man whose judgment no serious, intelligent person trusts"
george conway urges trump to resign over aborted iran strike,3,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"n chief as an ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man",Prerana,1,Prerana,"n chief as an ""erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man"
meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"duchess difficult,"" Me-Gain,"" and ""Hurricane Meghan.",Prerana,3,Ashrey | Prerana,"""duchess difficult,"" Me-Gain,"" and ""Hurricane Meghan."" || duchess difficult,"" Me-Gain,"" and ""Hurricane Meghan. || Me-Gain, "" and "" Hurricane Meghan"
"ron desantis signs amendment 4 bill, limiting felon voting",2,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Prerana,3,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected
"ron desantis signs amendment 4 bill, limiting felon voting",3,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"He signed a 2016 letter that called being transgender ""a delusion.""",Ashrey,1,Ashrey,"He signed a 2016 letter that called being transgender ""a delusion."""
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"unconstrained by nature or biology, and that marriage, sexuality, gender identity, and even the unborn child must yield to the erotic desires of liberated adults",Ashrey,2,Ashrey | Prerana,"unconstrained by nature or biology, and that marriage, sexuality, gender identity, and even the unborn child must yield to the erotic desires of liberated adults || autonomous blob of Silly Putty, unconstrained by nature or biology"
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,What?) Senate Minority Leader Chuck Schumer (D-N.Y.) wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge,Ashrey,2,Aarush | Ashrey,What?) Senate Minority Leader Chuck Schumer (D-N.Y.) wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge || wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge.
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"sounds like a lot of President Donald Trump's other judicial nominees young, right-wing ideologues , the vast majority of whom are white men",Ashrey,1,Ashrey,"sounds like a lot of President Donald Trump's other judicial nominees young, right-wing ideologues , the vast majority of whom are white men"
the latest: nadler says panel will move quickly on mcgahn,2,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"d her ""Nervous Nancy"" after it was reported she privately told De",Prerana,2,Ashrey | Prerana,"He called her ""Nervous Nancy"" || d her ""Nervous Nancy"" after it was reported she privately told De"
the latest: nadler says panel will move quickly on mcgahn,3,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Prerana,3,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?",Ashrey,3,Aarush | Ashrey | Prerana,"They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse? || hey are both a disgrace to our Country, the Enemy of the People || hey are both a disgrace to our Country, the Enemy of the People"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"both of these horrible papers will quickly go out of business & be forever gone,",Ashrey,1,Ashrey,"both of these horrible papers will quickly go out of business & be forever gone,"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,e Amazon (lobbyist) Washington,Prerana,1,Prerana,e Amazon (lobbyist) Washington
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,majority_accept,3-0,accept,3,0,3,slogans,persuasive propaganda,"news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House",Ashrey,2,Ashrey | Prerana,"news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House || America has been made GREAT again"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,enemy of the peopl,Aarush,1,Aarush,enemy of the peopl
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,enemy of the people.,Prerana,1,Prerana,enemy of the people.
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,"a virtual act of Treason by a once great paper so desperate for a story, any story, even if bad for our Country",Ashrey,1,Ashrey,"a virtual act of Treason by a once great paper so desperate for a story, any story, even if bad for our Country"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)",Ashrey,1,Ashrey,"There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,majority_accept,3-0,accept,3,0,3,exaggeration,persuasive propaganda,The Fake News has never been more dishonest than it is today.,Prerana,1,Prerana,The Fake News has never been more dishonest than it is today.
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,The Fake News has never been more dishonest than it is today,Ashrey,1,Ashrey,The Fake News has never been more dishonest than it is today
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",3,majority_accept,3-0,accept,3,0,3,no polarizing language,no polarizing language,no polarizing language selected,Prerana,5,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected || no polarizing language selected || no polarizing language selected
trump vows to cure cancer and eradicate aids,0,majority_accept,3-0,accept,3,0,3,casual oversimplification,persuasive propaganda,The president spent much of his speech attacking familiar foes and restating his position on issues like immigration,Aarush,1,Aarush,The president spent much of his speech attacking familiar foes and restating his position on issues like immigration
trump vows to cure cancer and eradicate aids,1,majority_accept,3-0,accept,3,0,3,doubt,persuasive propaganda,"""Wow, why the hell didn't you do that over the last 50 years, Joe?"" Trump Jr. tweeted.",Ashrey,1,Ashrey,"""Wow, why the hell didn't you do that over the last 50 years, Joe?"" Trump Jr. tweeted."
